_id,count
International Movies,1927
Dramas,1623
Comedies,1113
International TV Shows,1001
Documentaries,668
TV Dramas,599
Action & Adventure,597
Independent Movies,552
TV Comedies,436
Thrillers,392
Children & Family Movies,378
Romantic Movies,376
Crime TV Shows,363
"Kids' TV",328
Stand-Up Comedy,281
Docuseries,279
Romantic TV Shows,278
Horror Movies,262
Music & Musicals,243
British TV Shows,210
Sci-Fi & Fantasy,193
Sports Movies,157
Reality TV,153
Korean TV Shows,132
TV Action & Adventure,126
Anime Series,117
Spanish-Language TV Shows,117
Classic Movies,84
TV Mysteries,69
TV Sci-Fi & Fantasy,68
Science & Nature TV,67
LGBTQ Movies,60
Movies,56
Cult Movies,55
TV Horror,54
Faith & Spirituality,47
Anime Features,45
Teen TV Shows,44
TV Thrillers,44
Stand-Up Comedy & Talk Shows,42
Classic & Cult TV,24
TV Shows,10
