_id,count
United States,686
United Kingdom,223
Japan,156
South Korea,116
Canada,107
France,70
Taiwan,65
India,55
Australia,50
Mexico,45
Spain,45
China,36
Germany,25
Turkey,25
Colombia,23
Brazil,18
Thailand,18
Italy,15
Argentina,14
Russia,14
Singapore,13
Ireland,11
Israel,9
Denmark,9
Egypt,9
Sweden,8
Belgium,8
New Zealand,8
Norway,8
Malaysia,7
Lebanon,7
Netherlands,6
Czech Republic,5
Poland,5
South Africa,5
Pakistan,4
Hong Kong,4
Chile,4
Finland,3
Greece,3
Ukraine,2
Indonesia,2
West Germany,2
Jordan,1
Azerbaijan,1
Iceland,1
Mauritius,1
Syria,1
United Arab Emirates,1
Philippines,1
Malta,1
Croatia,1
Switzerland,1
Cuba,1
Hungary,1
Saudi Arabia,1
Austria,1
Kuwait,1
Cyprus,1
