_id,type,count
Achint Kaur,International Movies,1
Achita Pramoj Na Ayudhya,Romantic Movies,1
Achita Sikamana,Horror Movies,1
Achyut Potdar,International Movies,1
Achyuth Kumar,International Movies,1
Acushla-Tara Kupe,Kids' TV,1
Ada Ameh,Comedies,1
Ada Carrasco,Classic Movies,1
Ada Choi,Action & Adventure,1
Ada Pan,International TV Shows,2
Adaar Malik,Comedies,1
Adah Sharma,Horror Movies,1
Adain Bradley,TV Comedies,1
Adair Curtis,Reality TV,1
Adam Andrianopolous,Kids' TV,1
Adam Arkin,Comedies,2
Adam Baldwin,Dramas,1
Adam Barrett,Documentaries,1
Adam Bartley,TV Sci-Fi & Fantasy,1
Adam Beach,Dramas,2
Adam Brody,Comedies,3
Adam Busch,Comedies,1
Adam Butcher,Sci-Fi & Fantasy,1
Adam Campbell,TV Comedies,1
Adam Chan,Comedies,1
Adam Chernick,Dramas,1
Adam Collins,Action & Adventure,1
Adam Conover,TV Comedies,1
Adam Cooper,Dramas,1
Adam Copeland,TV Horror,1
Adam Crew,Children & Family Movies,1
Adam David Thompson,Dramas,1
Adam DeVine,Comedies,2
Adam Deacon,Dramas,1
Adam Demos,Comedies,1
Adam Devine,TV Comedies,1
Adam DiMarco,Children & Family Movies,2
Adam Driver,Dramas,3
Adam Eskilden,International Movies,1
Adam Faraizl,Dramas,1
Adam Ferrara,Action & Adventure,1
Adam Garcia,Crime TV Shows,1
Adam Gardiner,Docuseries,1
Adam Gazzola,Reality TV,1
Adam Gibbs,International TV Shows,1
Adam Godley,TV Comedies,2
Adam Goldberg,Thrillers,1
Adam Greydon Reid,TV Comedies,1
Adam Gussow,Music & Musicals,1
Adam Hicks,Children & Family Movies,1
Adam Hochstetter,Kids' TV,1
Adam Horovitz,Comedies,1
Adam Hurtig,Horror Movies,1
Adam James,Romantic TV Shows,1
Adam Jezierski,Comedies,1
Adam Lazarre-White,Horror Movies,1
Adam LeFevre,Romantic Movies,1
Adam Levine,Comedies,2
Adam Levy,TV Dramas,2
Adam Long,Crime TV Shows,1
Adam Lustick,TV Comedies,1
Adam Mayfield,TV Comedies,1
Adam Moussamih,Children & Family Movies,1
Adam Nee,Independent Movies,1
Adam Pak,Romantic TV Shows,1
Adam Pally,Comedies,3
Adam Powell,Romantic Movies,1
Adam Rayner,Action & Adventure,2
Adam Rose,Comedies,2
Adam Rothenberg,British TV Shows,1
Adam Sandler,Comedies,12
Adam Scott,Comedies,8
Adam Scott Miller,Action & Adventure,1
Adam Shapiro,TV Sci-Fi & Fantasy,1
Adam Silver,Sports Movies,1
Adam Tsekhman,TV Action & Adventure,1
Adam Tuominen,Children & Family Movies,2
Adam West,Children & Family Movies,1
Adam Wilson,International TV Shows,1
Adam Wylie,Movies,1
Adamo Dionisi,Crime TV Shows,1
Adan Canto,Crime TV Shows,1
Adan Martín Rocha,International Movies,1
Adan Otero,Dramas,1
Adarsh,Dramas,1
Adarsh Gourav,TV Mysteries,1
Adarsh Kurne,Dramas,1
Addison Holley,Kids' TV,1
Addison Timlin,Comedies,1
Additi Gupta,International TV Shows,1
Ade Adepitan,British TV Shows,1
Adea Lennox,Independent Movies,1
Adebayo Thomas,International Movies,1
Adebukola Oladipupo,Comedies,1
Adeel Akhtar,Comedies,1
Adeel Hashmi,International Movies,1
Adeel Hussain,International Movies,1
Adel Bencherif,Thrillers,1
Adel Imam,Crime TV Shows,1
Adel Karam,TV Dramas,1
Adelaide Clemens,Crime TV Shows,1
Adelaide Hirasaki,Kids' TV,1
Adelaide Kane,Kids' TV,1
Adele Perovic,International TV Shows,1
Adelfa Calvo,Comedies,1
Adeline Chetail,Kids' TV,3
Adeline Rudolph,TV Sci-Fi & Fantasy,1
Ademola Adedoyin,International Movies,2
Aden Young,Crime TV Shows,2
Adeolu Adefarasin,Dramas,1
Adesh Bhardwaj,Horror Movies,1
Adesua Etomi,International Movies,6
Adetomiwa Edun,International Movies,1
Adewale Akinnuoye-Agbaje,TV Thrillers,1
Adhir Kalyan,Comedies,1
Adhvik Mahajan,Independent Movies,1
Adi Khalefa,TV Comedies,1
Adi Kvetner,Horror Movies,1
Adi Lev,Comedies,1
Adib Alkhalidey,Stand-Up Comedy & Talk Shows,1
Adil Dehbi,Comedies,1
Adil Hussain,International Movies,13
Adina Porter,TV Horror,1
Adinath Kothare,Comedies,1
Adinia Wirasti,Dramas,1
Adipati Dolken,Romantic Movies,1
Adisa Anderson,Independent Movies,1
Adithya Menon,International Movies,1
Aditi Arya,TV Shows,1
Aditi Keskar,Dramas,1
Aditi Mittal,TV Comedies,1
Aditi Rao Hydari,International Movies,4
Aditi Sharma,Dramas,1
Aditi Vasudev,Comedies,1
Aditya Bhattacharya,Dramas,1
Aditya Hitkari,Dramas,1
Aditya Lakhia,International Movies,2
Aditya Narayan,Romantic Movies,1
Aditya Pancholi,Dramas,1
Aditya Raj Sharma,Children & Family Movies,1
Aditya Roy Kapoor,International Movies,4
Aditya Sharma,Dramas,1
Aditya Srivastava,International Movies,2
Adjetey Anang,Comedies,1
Adjoa Andoh,Thrillers,1
Adlu Fahrezy,International Movies,1
Adnan Haskovic,International Movies,1
Adnan Jaffar,Independent Movies,1
Adnan Malik,International Movies,1
Adnan Shah,International Movies,4
Adnan Siddiqui,Dramas,1
Adoor Ajayan,International Movies,1
Adora Dei,Dramas,1
Adreea Diac,Action & Adventure,1
Adria Arjona,Action & Adventure,2
Adrian Alonso,International Movies,1
Adrian Bower,British TV Shows,1
Adrian Dunbar,Thrillers,1
Adrian Edmondson,Action & Adventure,1
Adrian Glynn McMorran,Comedies,1
Adrian Grenier,Dramas,1
Adrian Grösser,Teen TV Shows,1
Adrian Hall,Children & Family Movies,1
Adrian Holmes,TV Action & Adventure,2
Adrian Hough,TV Dramas,1
Adrian Knight Jesly,International Movies,1
Adrian Ladron,Dramas,1
Adrian Lester,Crime TV Shows,1
Adrian Martinez,Dramas,1
Adrian Moore,Kids' TV,1
Adrian Murray,Dramas,1
Adrian Pang,Dramas,1
Adrian Pasdar,Sci-Fi & Fantasy,2
Adrian Paul,Action & Adventure,1
Adrian Petriw,Kids' TV,2
Adrian Scarborough,International TV Shows,1
Adrian Schiller,British TV Shows,1
Adriana Altaras,Comedies,1
Adriana Arango,International TV Shows,2
Adriana Barraza,Spanish-Language TV Shows,2
Adriana Botina,International Movies,1
Adriana Ozores,Romantic TV Shows,2
Adriana Paz,International Movies,2
Adriana Torrebejano,International Movies,1
Adriana Ugarte,Dramas,2
Adriane Daff,Dramas,1
Adriane Lenox,Dramas,1
Adrianna Biedrzyńska,International Movies,2
Adrianna Di Liello,Kids' TV,1
Adrianna Edwards,Sci-Fi & Fantasy,1
Adrianne Palicki,Horror Movies,1
Adriano Garib,Crime TV Shows,1
Adriano Moraes,Docuseries,1
Adriano Qalbi,Dramas,1
Adriano Tardiolo,Dramas,1
Adriano Zumbo,Reality TV,3
Adrien Barazzone,Comedies,1
Adrien Brody,Dramas,2
Adrienne Bailon,Romantic Movies,1
Adrienne Barbeau,Children & Family Movies,1
Adrienne C. Moore,TV Comedies,1
Adrienne Pickering,TV Comedies,1
Adrienne Rose White,Horror Movies,1
Adrienne Shaw,Independent Movies,1
Adrià Salazar,Dramas,1
Adrián Lastra,Romantic TV Shows,2
Adrián Núñez,International Movies,1
Adrián Pino,Spanish-Language TV Shows,1
Adrián Salzedo,Music & Musicals,1
Adrián Stoppelman,Dramas,1
Adrián Uribe,Dramas,1
Adrián Yospe,International Movies,1
Adul Charoenrasameekiat,TV Dramas,1
Adunni Ade,International Movies,2
Ady An,International TV Shows,2
Ady Putra,TV Dramas,1
Adám Fekete,Action & Adventure,1
Adèle Exarchopoulos,Dramas,2
Adèle Haenel,Dramas,1
Adèle Wismes,Independent Movies,1
Ae Sasikarn Aphichartworasilp,Romantic TV Shows,1
Ae-yeon Jeong,Romantic TV Shows,1
Aegina De Vas,Dramas,1
Aenie Wong,International TV Shows,5
Aenne Schwarz,Dramas,1
Aeril Zafrel,TV Dramas,1
Afaf Rashad,Action & Adventure,1
Afalean Lu,International TV Shows,1
Afdhal Yusman,International Movies,1
Afdlin Shauki,International TV Shows,1
Afeez Oyetoro,Dramas,1
Affif Ben Badra,Action & Adventure,1
Affion Crockett,Kids' TV,1
Afieq Syazwan,International TV Shows,1
Afonso Padilha,TV Comedies,1
Aftab Khan,Dramas,1
Aftab Shivdasani,International Movies,4
Aga Muhlach,International Movies,2
Agata Buzek,Dramas,1
Agata Kulesza,Dramas,2
Agathe Bonitzer,International TV Shows,1
Aggeliki Papoulia,Romantic Movies,1
Aggy K. Adams,International Movies,1
Agha,Comedies,2
Agnello Dias,Thrillers,1
Agnes Kittelsen,Dramas,1
Agnes Moorehead,Children & Family Movies,1
Agnes Wang,TV Sci-Fi & Fantasy,1
Agnese Graziani,International Movies,1
Agnieszka Dygant,International Movies,1
Agniya Kuznetsova,Kids' TV,1
Agustina Mindlin,International TV Shows,1
Agustín Aristarán,Stand-Up Comedy,1
Agustín Bernal,Dramas,1
Agustín Jiménez,International Movies,1
Agustín Silva,Independent Movies,2
Agyness Deyn,Thrillers,1
Ah-in Yoo,Korean TV Shows,1
Ah-sung Ko,TV Dramas,1
Ahan Nirban,International TV Shows,1
Ahd,British TV Shows,1
Ahlaam Muhammed,TV Dramas,1
Ahlam Al-Gritly,International Movies,1
Ahmad Faloks,Comedies,1
Ahmad Iswazir,TV Dramas,1
Ahmad Thaher,Dramas,1
Ahmad Wafiq,International Movies,3
Ahmed Abdelhafiz,International Movies,1
Ahmed Adel,Comedies,1
Ahmed Ali Khan,Dramas,1
Ahmed Awni,Horror Movies,1
Ahmed Azmy,Dramas,1
Ahmed Bedir,Dramas,1
Ahmed Dash,Independent Movies,1
Ahmed Dawood,TV Dramas,2
Ahmed Eid,Dramas,3
Ahmed El Mohammdi,Comedies,1
Ahmed Ezz,International Movies,1
Ahmed Fathy,International Movies,7
Ahmed Fouad Selim,International Movies,2
Ahmed Gamal Saeed,Dramas,1
Ahmed Hassan,Documentaries,1
Ahmed Hatem,TV Dramas,1
Ahmed Helmy,Comedies,2
Ahmed Khan,International Movies,1
Ahmed Malek,Independent Movies,1
Ahmed Mekky,Comedies,1
Ahmed Rateb,Dramas,2
Ahmed Rizk,Comedies,1
Ahmed Safwat,International Movies,3
Ahmed Saif,International Movies,1
Ahmed Salah Al-Saadany,International Movies,2
Ahmed Salah Hosny,Dramas,1
Ahmed Saleh,Documentaries,1
Ahmed Sylla,Comedies,1
Ahmed Zaher,Dramas,1
Ahmed el-Sakka,Comedies,1
Ahmet Kural,Comedies,2
Ahmet Mümtaz Taylan,Dramas,3
Ahmet Pinar,TV Dramas,1
Ahmet Saraçoğlu,Dramas,1
Ahmet Talay,TV Dramas,1
Ahmet Tansu Taşanlar,Crime TV Shows,1
Ahmet Uz,Dramas,1
Ahn Hyo-min,Korean TV Shows,1
Ahn Hyo-seop,Korean TV Shows,1
Ahn Jae-hyeon,International TV Shows,1
Ahn Jae-wook,International TV Shows,1
Ahn Jang-hyuk,Kids' TV,1
Ahn Kil-kang,International TV Shows,1
Ahn Nae-sang,Korean TV Shows,1
Ahn Se-ha,Crime TV Shows,1
Ahn Sung-kee,Action & Adventure,1
Ahna Capri,Action & Adventure,1
Ahna O'Reilly,Dramas,1
Ahron Villena,International Movies,1
Ahsaas Channa,TV Dramas,1
Ahsan Khan,Comedies,1
Ahu Türkpençe,TV Dramas,1
Ai Kakuma,Anime Series,1
Ai Kayano,Anime Series,11
Ai Nonaka,Anime Series,4
Ai Satou,International TV Shows,1
Ai Weiwei,Documentaries,1
Ai Yoshikawa,International Movies,1
Ai-Ai de las Alas,Comedies,3
Aia Kruse,Dramas,1
Aida,Thrillers,1
Aida Elkashef,International Movies,1
Aida López,International TV Shows,1
Aida Nurmala,Comedies,2
Aida Reyad,Action & Adventure,1
Aida Rodriguez,TV Comedies,1
Aidan Cook,British TV Shows,1
Aidan Dee,Dramas,1
Aidan Gillen,Dramas,3
Aidan Langford,TV Dramas,1
Aidan McArdle,Dramas,1
Aidan Quinn,Comedies,1
Aidan Shipley,Dramas,1
Aiden Akpan,Dramas,1
Aiden Lovekamp,Horror Movies,1
Aidy Bryant,Faith & Spirituality,1
Aiko Melendez,International Movies,2
Aileen Tan,TV Dramas,2
Ailen Sit,Action & Adventure,1
Aimee Carrero,TV Comedies,1
Aimee Garcia,Dramas,1
Aimee Teegarden,TV Dramas,1
Aimee-Ffion Edwards,British TV Shows,2
Aimée Sayah,International TV Shows,1
Aina Clotet,Dramas,2
Aino Jawo,Comedies,1
Ainsley Harriott,International TV Shows,1
Ainy Jaffri,International Movies,1
Aisha Tyler,Comedies,1
Aishwarya,International Movies,3
Aishwarya Ghaydar,Dramas,1
Aishwarya Rai Bachchan,International Movies,8
Aisling Bea,TV Comedies,1
Aisling Loftus,International Movies,1
Aislinn Derbez,Comedies,2
Aissa Maiga,Comedies,1
Aissatou Diop,International TV Shows,1
Ait Youssef Youssef,Dramas,4
Aitana Sánchez-Gijón,Romantic TV Shows,2
Aitor Luna,International Movies,1
Aitor Urtzelai,International Movies,1
Aja Naomi King,TV Mysteries,1
Ajab Gul,International Movies,1
Ajay Devgn,International Movies,15
Ajay Friese,Kids' TV,1
Ajay Ghosh,Thrillers,1
Ajay Mehta,Comedies,1
Ajay Mishra,International Movies,1
Ajay Nagrath,International Movies,1
Ajay Naidu,Dramas,1
Ajay Raj,Thrillers,1
Ajay Ratnam,Thrillers,1
Ajay Shankar,Dramas,1
Ajinkya Bhosale,International Movies,1
Ajinkya Deo,Comedies,1
Ajiona Alexus,Horror Movies,1
Ajit,Dramas,1
Ajit Vachani,Dramas,1
